group,path,w,h,canvas,opaque,unique_colors,colors_per_sqrt,pixels_per_color,exact_clusters,exact_mean_cluster,exact_median_cluster,exact_speckle_ratio,exact_readable_clusters,q32_clusters,q32_mean_cluster,q32_median_cluster,q32_speckle_ratio,q32_readable_clusters,q32_colors,q32_colors_per_sqrt,q32_pixels_per_color
demo_ref,art_style_demo/references/workshop_fp_ref.png,1536,1024,1572864,1572864,67527,53.84332482451813,23.292371940112844,,,,,,198126,7.938705672148027,1.0,0.7431230631012588,38469,32,0.025515518153991442,49152.0
demo_ref,art_style_demo/references/street_day_ref.png,1536,1024,1572864,1572864,70871,56.50969647161023,22.193337190105968,,,,,,190830,8.242226065084106,1.0,0.7136351726667715,41026,32,0.025515518153991442,49152.0
demo_ref,art_style_demo/references/street_night_ref.png,1536,1024,1572864,1572864,39166,31.2293995006009,40.15891334320584,,,,,,115473,13.62105427242732,1.0,0.7099408519740545,25588,32,0.025515518153991442,49152.0
demo_ref,art_style_demo/references/workshop_fp_pixel_ref.png,1536,1024,1572864,1572864,48192,38.42637033991111,32.63745019920319,,,,,,31390,50.107167887862374,3.0,0.44252946798343423,15268,32,0.025515518153991442,49152.0
demo_ref,art_style_demo/references/street_day_pixel_ref.png,1536,1024,1572864,1572864,139071,110.88964453730449,11.309791401514335,,,,,,91562,17.178130665559948,2.0,0.5503156331229112,34897,32,0.025515518153991442,49152.0
demo_ref,art_style_demo/references/street_night_pixel_ref.png,1536,1024,1572864,1572864,71871,57.30705641392247,21.88454313979213,,,,,,96868,16.23718875170335,2.0,0.5219473923277037,38057,32,0.025515518153991442,49152.0
aseprite_user,Aseprite-User/export/props/anvil_side.png,64,48,3072,1548,9,0.228747855498907,172.0,148,10.45945945945946,1.0,0.6756756756756757,43,148,10.45945945945946,1.0,0.6756756756756757,43,9,0.228747855498907,172.0
aseprite_user,Aseprite-User/export/props/forge_side.png,96,80,7680,3944,15,0.23884865823693074,262.93333333333334,182,21.67032967032967,14.0,0.2967032967032967,124,182,21.67032967032967,14.0,0.2967032967032967,124,15,0.23884865823693074,262.93333333333334
aseprite_user,Aseprite-User/export/props/hammer_side.png,48,48,2304,578,9,0.37435064886346636,64.22222222222223,28,20.642857142857142,7.0,0.14285714285714285,24,28,20.642857142857142,7.0,0.14285714285714285,24,9,0.37435064886346636,64.22222222222223
aseprite_user,Aseprite-User/export/scenes/workshop_fp/workshop_fp_full.png,384,256,98304,98304,48,0.15309310892394865,2048.0,35787,2.746919272361472,1.0,0.7918517897560566,5006,25273,3.8896846436908956,1.0,0.7494955090412694,4527,32,0.10206207261596577,3072.0
aseprite_user,Aseprite-User/export/weapons/hammer.png,48,48,2304,382,8,0.40931560807732065,47.75,18,21.22222222222222,18.0,0.1111111111111111,16,18,21.22222222222222,18.0,0.1111111111111111,16,8,0.40931560807732065,47.75
aseprite_user,Aseprite-User/export/weapons/hammer_ornate.png,48,48,2304,552,13,0.5533167449931866,42.46153846153846,47,11.74468085106383,3.0,0.44680851063829785,22,47,11.74468085106383,3.0,0.44680851063829785,22,12,0.5107539184552492,46.0
aseprite_user,Aseprite-User/export/weapons/hammer_round.png,48,48,2304,552,8,0.34050261230349943,69.0,31,17.806451612903224,4.0,0.25806451612903225,19,31,17.806451612903224,4.0,0.25806451612903225,19,8,0.34050261230349943,69.0
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/anvil_block.png,32,24,768,576,5,0.20833333333333334,115.2,62,9.290322580645162,2.0,0.5806451612903226,24,62,9.290322580645162,2.0,0.5806451612903226,24,5,0.20833333333333334,115.2
